BJD RV eRV
2458684.46489811 2.68291306843821 0.54
2458684.46566207 2.69240073499168 0.54
2458684.46642602 3.71333103356301 0.55
2458684.46720197 4.21249898033057 0.56
2458684.46796593 3.15337395424285 0.53
2458684.46872888 3.05519581468252 0.54
2458684.46951583 2.19604857547893 0.51
2458684.47027979 5.18550539967691 0.53
2458684.47103274 3.06536446540849 0.54
2458685.46496515 3.95737550285048 0.69
2458685.46681704 3.3679433383586 0.56
2458685.46770799 2.40890757520538 0.53
2458685.46855293 2.64927594626351 0.54
2458685.46935089 2.44059464345628 0.5
2458685.47013784 2.94129611125027 0.54
2458685.47092479 2.75162936202832 0.49
2458685.47170074 2.64141344847667 0.51
2458685.4724647 2.15212340205835 0.49
2458685.47322865 2.44255197566963 0.51
2458703.47113547 -2.28139841889788 0.43
2458703.4720954 -1.67017923807725 0.47
2458703.47285934 -1.42031673716338 0.47
2458703.47362329 -2.78028098762297 0.39
2458703.47438724 -2.05005175300539 0.4
2458703.47515118 -1.6796066666866 0.44
2458703.47591513 -2.26992562534724 0.44
2458703.47669008 -2.29914559260942 0.4
2458703.47745402 -1.66890856673126 0.41
2458703.47821797 -0.339371548099734 0.43
2458704.46195703 2.61615986696779 0.47
2458704.46280197 0.766858175626112 0.42
2458704.46358891 0.866214186327852 0.45
2458704.46435286 0.346521394429146 0.44
2458704.4651168 1.14684049202333 0.45
2458704.46590375 2.63735725116567 0.42
2458704.46667869 7.94754399274825 0.46
2458704.46745464 -1.35245465559274 0.43
2458704.46824158 2.887460164402 0.44
2458704.46900553 0.918266337794194 0.45
2458705.46659733 -3.89279363907553 0.42
2458705.46780025 -3.59192635816362 0.43
2458705.46858719 -3.69150592773076 0.43
2458705.46936314 -2.71173254884343 0.41
2458705.47013808 -2.15141037468857 0.44
2458705.47091403 -4.37207595214932 0.43
2458705.47168897 -2.54115212829129 0.43
2458705.47246492 -2.84116699594961 0.4
2458705.47323986 -2.50055252190577 0.42
2458705.47403881 -2.81101011701321 0.4
2458706.46234801 -3.44215006118247 0.4
2458706.46319295 -3.05257246803376 0.44
2458706.46396889 -3.51338384234259 0.44
2458706.46474384 -4.09172217496962 0.42
2458706.46551978 -4.23212095069903 0.43
2458706.46629473 -3.50200574586052 0.44
2458706.46707067 -3.36190325537245 0.44
2458706.46783462 -3.65226924242234 0.43
2458706.46859756 -2.99109948139449 0.43
2458706.46937351 -3.10111871356639 0.41
2458707.47355034 -0.0202709741424769 0.47
2458707.47438328 1.82983929038892 0.46
2458707.47517022 -2.80918258713064 0.45
2458707.47595717 18.7004352876029 0.61
2458707.47674411 2.45071641284085 0.5
2458707.47752005 0.900257026045438 0.43
2458707.478295 0.0906893226674583 0.48
