BJDtcb1 BJDtcb2 BJDtdb1 BJDtdb2 RvTot ZB
2450760 -0.00323102062603798 2450760 -0.00334910116117725 -18505.5918086153 0.0000617280098774708
2450770 -0.00334006743758748 2450770 -0.00345830302301272 -22267.1437846641 0.0000742751966917865
2450780 -0.00332142786005882 2450780 -0.00343981849774985 -26104.8699333172 0.0000870764731957241
2450790 -0.00317418874734381 2450790 -0.00329273443929458 -29891.8387101034 0.0000997084413314475
2450800 -0.0029028037489312 2450800 -0.00302150449706662 -33469.8020450006 0.000111643242356019
2450810 -0.00251526476045213 2450810 -0.0026341205665732 -36772.3899264787 0.000122659489740995
2450820 -0.00202280924906017 2450820 -0.00214182011479363 -39659.2494780813 0.00013228901668394
2450830 -0.00144139934669318 2450830 -0.00156056527341829 -42027.9257151588 0.000140190070142321
2450840 -0.000788737080153048 2450840 -0.000908058068974581 -43843.7846130453 0.000146247123445131
2450850 -0.0000849778586168377 2450850 -0.00020445391032707 -45003.3415570116 0.00015011498907358
2450860 0.000647357138506437 2450860 0.000527726023464434 -45497.9194020894 0.000151764723187564
2450870 0.00138638238498533 2450870 0.00126659620650782 -45336.0605578408 0.000151224820198248
2450880 0.00210935278902039 2450880 0.00198941154735631 -44483.4889425449 0.00014838094740377
2450890 0.00279422035227107 2450890 0.00267412404801121 -43022.3039172754 0.000143506958795059
2450900 0.00342148322600984 2450900 0.00330123186004738 -40995.1627132372 0.00013674514357942
2450910 0.00397241425264483 2450910 0.0038520078261633 -38441.2630874547 0.00012822625140041
2450920 0.00443154227526996 2450920 0.00431098078969279 -35495.2283809527 0.000118399337387443
2450930 0.00478671804149174 2450930 0.00466600149843072 -32213.2404350523 0.000107451803991188
2450940 0.00502776757641598 2450940 0.00490689597764067 -28692.3059492334 0.0000957072307310458
2450950 0.00514911863295815 2450950 0.00502809198032449 -25071.1099208896 0.0000836282209637496
2450960 0.00514820516620465 2450960 0.00502702346160839 -21403.1668135879 0.0000713932797254957
2450970 0.00502516150299019 2450970 0.00490382474832497 -17818.0656992246 0.0000594346696314307
2450980 0.00478475018563765 2450980 0.00466325838272328 -14421.6356094185 0.0000481053983333313
2450990 0.00443381158261566 2450990 0.0043121647331659 -11260.0555598744 0.0000375595024471043
2451000 0.00398220935133029 2451000 0.00386040745690594 -8462.11867151631 0.0000282265895812372
2451010 0.00344337976000243 2451010 0.00332142282195596 -6092.01000410857 0.0000203207580495857
2451020 0.00283176780081555 2451020 0.00270965582027548 -4180.90113667216 0.0000139459850476698
2451030 0.0021646787944074 2451030 0.0020424117722339 -2834.19891002075 0.0000094538699503266
2451040 0.0014611873176826 2451040 0.0013387652544401 -2050.31006127461 0.00000683909820464734
2451050 0.000740390530341729 2451050 0.000617813426298558 -1863.71385631679 0.00000621668026190569
2451060 0.0000233770085846064 2451060 -0.0000993551363179011 -2317.03098906023 0.00000772878345411954
2451070 -0.000669213256643562 2451070 -0.000792100442784092 -3356.34519599425 0.0000111955624847448
2451080 -0.00131763821942561 2451080 -0.00144068044748895 -4997.71423476247 0.0000166705802677747
2451090 -0.00190185173664582 2451090 -0.00202504900762759 -7205.24720946849 0.0000240341176610537
2451100 -0.00240451723115538 2451100 -0.00252786954632 -9882.76458364622 0.0000329653542640029
2451110 -0.00281011225151071 2451110 -0.00293361961236327 -13009.8576417397 0.0000433962139292365
2451120 -0.00310504097978445 2451120 -0.00322870338804085 -16472.6298266481 0.0000549467786365998
2451130 -0.00328019106194154 2451130 -0.00340400851945898 -20152.5558730722 0.0000672216906573153
2451140 -0.00332902292974375 2451140 -0.00345299543848081 -23983.8723099978 0.0000800015866643244
2451150 -0.0032489320603263 2451150 -0.00337305962228195 -27802.196928945 0.0000927381466312438
2451160 -0.00304238539382052 2451160 -0.00316666801095549 -31499.1837885283 0.000105069967399007
2451170 -0.00271460116970767 2451170 -0.00283903884390177 -34978.3216646772 0.00011667512217628
2451180 -0.00226397360367555 2451180 -0.0023885663368335 -38077.4965776981 0.000127012856933506
2451190 -0.00172758031528934 2451190 -0.00185232810874095 -40735.5339148289 0.000135879115127135
2451200 -0.00110978342370724 2451200 -0.00123468627871468 -42860.3393280117 0.00014296670307834
2451210 -0.000430374208614159 2451210 -0.000555432126132745 -44350.3218170117 0.000147936749686384
2451220 0.000289470707556319 2451220 0.000164257726899624 -45212.9515880296 0.00015081417287699
2451230 0.00102802235974452 2451230 0.000902654315659665 -45394.2400666308 0.000151418886150334
2451240 0.00176191356197466 2451240 0.0016363904545339 -44887.8242791858 0.000149729664911002
2451250 0.0024693484277775 2451250 0.00234367025739105 -43760.8287718547 0.00014597041254405
2451260 0.00312944960588676 2451260 0.00300361637328854 -42010.1575640496 0.00014013080196984
2451270 0.00372225483469784 2451270 0.00359626654093129 -39720.7341577558 0.000132494107499381
2451280 0.00423148494765026 2451280 0.00410534159401123 -36986.7647391044 0.000123374567145063
2451290 0.00464268576139624 2451290 0.00451638734940468 -33849.3253660737 0.000112909195888022
2451300 0.00494435882506711 2451300 0.00481790535642128 -30450.2866429887 0.000101571223125929
2451310 0.00512935838668336 2451310 0.00500274986319231 -26876.9113103545 0.0000896517260295937
2451320 0.00519264143368366 2451320 0.00506587785723461 -23201.5086930519 0.0000773919025442993
2451330 0.00513326831677072 2451330 0.00500634968926549 -19577.6932568465 0.0000653041553728695
2451340 0.00495403755267438 2451340 0.00482696387597139 -16066.1322967355 0.0000535908488289438
2451350 0.00465977591879182 2451350 0.00453254719467464 -12758.8372751716 0.0000425589001147308
2451360 0.00425959649566465 2451360 0.00413221272577556 -9780.87024375709 0.0000326254713310936
