BJDtdb1 BJDtdb2 ZB
2455852 0.762996772925389 -0.0000122306031843378
2455852 0.764073759339953 -0.0000122404761492279
2455852 0.765149746447009 -0.0000122503169969201
2455852 0.766225733077834 -0.0000122601345181605
2455957 0.546752278493633 -0.0000857689079616364
2455957 0.54837213977993 -0.0000857764026823693
2455957 0.551797845914119 -0.000085791904546384
2456094 0.940187405950849 0.0000826848205850439
2456141 0.920162373442528 0.0000816853879515023
2456141 0.921273464041799 0.0000816756394419471
2456141 0.922419557522452 0.0000816655898756569
2456141 0.923576652206491 0.00008165545057226
2456141 0.924711744914926 0.0000816455111192216
2456146 0.901268238453007 0.0000786032165529527
2456146 0.90504153507562 0.000078569632192993
2456146 0.907946763303115 0.0000785438091135404
2456146 0.910759984462158 0.0000785188411516202
2456146 0.91334118696907 0.0000784959709645427
2456148 0.88097160548878 0.0000773281311490237
2456148 0.882221702355054 0.0000773169385990258
2456148 0.883505801629165 0.0000773054383405025
2456148 0.884779900039351 0.0000772940250448606
2456173 0.790541585538222 0.000052808485971001
2456173 0.791698646368651 0.0000527977343771635
2456173 0.792856707479885 0.0000527869603990094
2456173 0.794002768319548 0.0000527762856634695
2456283 0.545862927740571 -0.0000877652449176036
2456283 0.54739079362928 -0.0000877783479662497
2456283 0.548721676921111 -0.0000877897439230946
2456283 0.549925571079052 -0.0000878000376012267
2456283 0.551476435303029 -0.0000878132761794603
2456285 0.593888662501517 -0.0000890894922502827
2456285 0.595046559308858 -0.0000890982791913464
2456285 0.596203456420339 -0.0000891070242040604
2456285 0.597360353056103 -0.0000891157344470317
2456285 0.598483252918548 -0.0000891241550663446
2456501 0.943614142595033 0.0000843482250905137
2456501 0.944726236478774 0.0000843386752802378
2456501 0.945848330805718 0.0000843290493262039
2456501 0.946948423564839 0.0000843196220436937
2456501 0.948024514572905 0.0000843104103704917
2456502 0.924102813380462 0.0000840389543321773
2456502 0.925247909711892 0.0000840289996935084
2456502 0.926394005890717 0.0000840190393731621
2456502 0.927552103157711 0.0000840089783149534
2456502 0.92875520430317 0.0000839985306131386
2456504 0.927452298487241 0.0000829802749107156
2456504 0.930276532893087 0.000082955682155772
2456507 0.947330772235092 0.0000810785059566221
2456507 0.948395858547291 0.0000810694259902878
2456507 0.949471946058191 0.0000810602683716244
2456507 0.950560034157633 0.000081051025514034
2456509 0.946346322602298 0.0000798101657402128
2456509 0.947353402958833 0.0000798015932488294
